交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
109.06.08,72,小番茄-聖女,600,嘉義市,38,25,16,25,1200
109.06.08,74,小番茄-玉女,600,嘉義市,100,90,60,90,600
109.06.08,811,火龍果-白肉,600,嘉義市,44,31,22,31,3000
109.06.08,812,火龍果-紅肉,600,嘉義市,32,23,13,23,8000
109.06.08,839,櫻桃-進口,600,嘉義市,300,300,300,300,250
109.06.08,859,榴槤-進口,600,嘉義市,125,100,95,100,1000
109.06.08,91,其他,600,嘉義市,42,20,14,20,4000
109.06.08,A1,香蕉,600,嘉義市,35,25,18,25,2800
109.06.08,B2,鳳梨-金鑽鳳梨,600,嘉義市,16,9,6,9,7200
109.06.08,E9,甜橙-進口,600,嘉義市,50,41,35,41,1200
109.06.08,F1,雜柑-檸檬,600,嘉義市,33,22,16,22,2000
109.06.08,G49,奇異果-進口,600,嘉義市,120,100,80,100,1500
109.06.08,I1,木瓜-網室紅肉,600,嘉義市,26,17,10,17,7000
109.06.08,J1,荔枝-玉荷包,600,嘉義市,83,66,50,66,2400
109.06.08,J4,荔枝-竹葉黑,600,嘉義市,38,30,25,30,1600
109.06.08,N3,李-紅肉李,600,嘉義市,65,33,25,33,850
109.06.08,O2,梨-秋水梨,600,嘉義市,65,35,30,35,1000
109.06.08,O5,梨-豐水梨,600,嘉義市,100,72,42,72,3200
109.06.08,P1,番石榴-珍珠芭,600,嘉義市,32,22,17,22,1400
109.06.08,Q1,蓮霧-紅蓮霧,600,嘉義市,43,26,18,26,1000
109.06.08,R1,芒果-愛文,600,嘉義市,48,25,17,25,4000
109.06.08,R2,芒果-紅龍玉文,600,嘉義市,35,22,17,22,1200
109.06.08,R3,芒果-本島,600,嘉義市,42,27,18,27,1000
109.06.08,R6,芒果-金煌,600,嘉義市,35,20,15,20,1600
109.06.08,S1,葡萄-巨峰,600,嘉義市,85,60,45,60,900
109.06.08,S9,葡萄-進口,600,嘉義市,95,82,70,82,300
109.06.08,T1,西瓜-大西瓜,600,嘉義市,15,10,8,10,7000
109.06.08,T3,西瓜-黑美人,600,嘉義市,10,7,6,7,2500
109.06.08,T5,西瓜-黃肉,600,嘉義市,10,7,6,7,6000
109.06.08,V1,甜瓜-美濃,600,嘉義市,30,20,10,20,3000
109.06.08,W1,洋香瓜-網狀紅肉,600,嘉義市,35,23,15,23,700
109.06.08,W2,洋香瓜-網狀綠肉,600,嘉義市,45,25,16,25,300
109.06.08,X09,蘋果-其他(進口),600,嘉義市,95,75,65,75,5500
109.06.08,rest,休市,800,高雄市,0,0,0,0,0
109.06.08,rest,休市,830,鳳山區,0,0,0,0,0
109.06.08,rest,休市,900,屏東市,0,0,0,0,0
109.06.08,rest,休市,930,台東市,0,0,0,0,0

